Component URL,System,Contact,Notes,System Status,Platform,ATO Folder,ATO Artifacts,ATO Type,ATO Level,ATO Expiration Date,ATO Expires,Authorizing Official,TTS Owner,System Owner,Technical Contact (mailing list preferred),Team Shared Email ,Slack channel,Project Mgmt Tracker,Partner Agency,GSA External Stakeholder,Mastersheet Unique ID,Origin sheet Unique ID,Sheet Name,FINAL?,SaaS?
Sites.usa.gov,usa.gov,,"extention signed
No evidence of an ATO yet.",Staging,CMP,https://drive.google.com/drive/u/1/folders/0BzGQCMmux7-oTjVqYm9UZHBqN0E,,"90 Day LATO, extended",Moderate,9/11/2017,,,OPP,,,,,TBD,OPP,Yes,4ECA1C27,172289AC,Copy of TTS ATOs New and Renewals DEPRECATED,Y,N
skills.data.gov,data.gov,datagovhelp@gsa.gov,,Redirect,,,,,,,,,,,,,,,,,,,,,
slides.18f.gov,18f.gov,,,Deprecated,,,,,,,,,,,,,,,,,2834F047,591F3877,Copy of ATO/System Tracking Index Federalist Sites,Y,N
smallbusiness.data.gov,data.gov,datagovhelp@gsa.gov,,Redirect,,,,,,,,,,,,,,,,,,,,,
smartdisclosure.data.gov,data.gov,datagovhelp@gsa.gov,,Redirect,,,,,,,,,,,,,,,,,,,,,
sp-oidc-sinatra.brody.identitysandbox.gov,login.gov,all@login.gov,,Dev/Sandbox,,,,,,,,,,,,,,,,,,,,,
sp-oidc-sinatra.markryan.identitysandbox.gov,login.gov,all@login.gov,,Dev/Sandbox,,,,,,,,,,,,,,,,,,,,,
sp-rails.brody.identitysandbox.gov,login.gov,all@login.gov,,Dev/Sandbox,,,,,,,,,,,,,,,,,,,,,
sp-rails.markryan.identitysandbox.gov,login.gov,all@login.gov,,Dev/Sandbox,,,,,,,,,,,,,,,,,,,,,
sp-sinatra.brody.identitysandbox.gov,login.gov,all@login.gov,,Dev/Sandbox,,,,,,,,,,,,,,,,,,,,,
sp-sinatra.markryan.identitysandbox.gov,login.gov,all@login.gov,,Dev/Sandbox,,,,,,,,,,,,,,,,,,,,,
sp.brody.identitysandbox.gov,login.gov,all@login.gov,,Dev/Sandbox,,,,,,,,,,,,,,,,,,,,,
sp.ci.identitysandbox.gov,login.gov,all@login.gov,,Dev/Sandbox,,,,,,,,,,,,,,,,,,,,,
sp.crissupb.identitysandbox.gov,login.gov,all@login.gov,,Dev/Sandbox,,,,,,,,,,,,,,,,,,,,,
sp.dev.identitysandbox.gov,login.gov,all@login.gov,,Dev/Sandbox,,,,,,,,,,,,,,,,,,,,,
sp.int.identitysandbox.gov,login.gov,all@login.gov,,Dev/Sandbox,,,,,,,,,,,,,,,,,,,,,
sp.jjg.identitysandbox.gov,login.gov,all@login.gov,,Dev/Sandbox,,,,,,,,,,,,,,,,,,,,,
sp.markryan.identitysandbox.gov,login.gov,all@login.gov,,Dev/Sandbox,,,,,,,,,,,,,,,,,,,,,
sp.qa.identitysandbox.gov,login.gov,all@login.gov,,Dev/Sandbox,,,,,,,,,,,,,,,,,,,,,
stage-socialmobileregistry.digitalgov.gov,digital.gov,digitalgov-team@gsa.gov,,Staging,,,,,,,,,,,,,,,,,,,,,
staging.api.data.gov,api.data.gov,,,Staging,,,,,,,,,,,,,,,,,,,,,
staging.code.gov,code.gov,code@gsa.gov,,Staging,,,,,,,,,,,,,,,,,8EC568C1,7954BA0C,Copy of ATO/System Tracking Index Federalist Sites,Y,N
staging.login.gov,login.gov,all@login.gov,,Staging,,,,,,,,,,,,,,,,,,,,,
staging.performance.gov,performance.gov,PgovSupport@GSA.gov,,Staging,,,,,,,,,,,,,,,,,935A0AAA,E0064E66,Copy of ATO/System Tracking Index Federalist Sites,Y,N
staging.pulse.cio.gov,,#N/A,,,,,,,,,,,,,,,,,,,,,,,
staging.vote.gov,usa.gov,,,Staging,,,,,,,,,,,,,,,,,,,,,
standards.usa.gov,usa.gov,,,Production,,,,,,,,,,,,,,,,,,,,,
standupbot.18f.gov,18f.gov,,,Deprecated,Cloud.gov,https://drive.google.com/drive/u/0/folders/0BzA5IPWEmW27OUtpNldxWWxkYmc,,TBD,Low,New,,,18F,,,,,https://github.com/18F/standup-bot,18F,TBD,7F4C68CD,2FAF013D,Copy of TTS ATOs New and Renewals DEPRECATED,Y,N
states.data.gov,data.gov,datagovhelp@gsa.gov,,Redirect,,,,,,,,,,,,,,,,,,,,,
static.data.gov,data.gov,datagovhelp@gsa.gov,,Deprecated,,,,,,,,,,,,,,,,,,,,,
stats.search.usa.gov,usa.gov,,,Deprecated,,,,,,,,,,,,,,,,,,,,,
strategy.data.gov,data.gov,datagovhelp@gsa.gov,,Production,federalist.18.gov,,,,,,,,,,,,,,,,,,,,
summit.digitalgov.gov,digital.gov,digitalgov-team@gsa.gov,,Redirect,,,,,,,,,,,,,,,,,,,,,
support.digitalgov.gov,digital.gov,digitalgov-team@gsa.gov,,,,,,,,,,,,,,,,,,,,,,,
survey.apps.cloud.gov,cloud.gov,peter.burkholder@gsa.gov,,Transferred?,Cloud.gov,https://drive.google.com/a/gsa.gov/folderview?id=0B2gdoTPnODnKRTMzMUdsRkRWNFU&usp=sharing&tid=0BynIxtx-CfkdckljM3BPSkdQT1U,,TBD,Moderate,5/6/2017,,,18F,,,,,TBD,18F,No,A3F82475,86EE048E,Copy of TTS ATOs New and Renewals DEPRECATED,Y,N
tailored.fedramp.gov,fedramp.gov,info@FedRAMP.gov,,Production,federalist.18.gov,,,,,,,,,,,,,,,,,,,,
tell-us.usa.gov,usa.gov,,,Production,,,,,,,,,,,,,,,,,,,,,
tellus.usa.gov,usa.gov,,,Production,,,,,,,,,,,,,,,,,,,,,
test-migrate.app.cloud.gov,cloud.gov,peter.burkholder@gsa.gov,,Transferred?,,,,,,,,,,,,,,,,,,,,,
test-onrr.app.cloud.gov,cloud.gov,peter.burkholder@gsa.gov,,Transferred?,,,,,,,,,,,,,,,,,,,,,
test.18f.us,,#N/A,,,,,,,,,,,,,,,,,,,,,,,
test.collegescorecard.ed.gov,18f.gov,,,,,,,,,,,,,,,,,,,,,,,,
testing-cookbook.18f.gov,18f.gov,,,Deprecated,,,,,,,,,,,,,,,,,F58278EE,4D53C55B,Copy of ATO/System Tracking Index Federalist Sites,Y,N
tmate.18f.gov,,#N/A,,,,,,,,,,,,,,,,,,,,,,,
tock.18f.gov,18f.gov,,CAP response now: Yes,Beta,Cloud.gov,https://drive.google.com/open?id=1c5uodGaqBT3ubJZLmlPwbE2GgSyhN8d6,https://drive.google.com/drive/folders/1hFaIyRafoTONHqm4jVUW8hXYFJQxaDam,AO-only ATO,Low,7/2/21,,Kimber Dowsett,18F,Roger Ruiz,Steven Reilly,,,,TBD,,7C4BD813,5AE56601,Copy of ATO/System Tracking Index Internal Systems,Y,N
tome.app.cloud.gov,cloud.gov,peter.burkholder@gsa.gov,,Transferred?,,,,,,,,,,,,,,,,,,,,,
tomeairnow.app.cloud.gov,cloud.gov,peter.burkholder@gsa.gov,,Transferred?,,,,,,,,,,,,,,,,,,,,,
tomeairnow1.app.cloud.gov,cloud.gov,peter.burkholder@gsa.gov,,Transferred?,,,,,,,,,,,,,,,,,,,,,
tophealth.pif.gov,pif.gov,pif-team@gsa.gov,,,,,,,,,,,,,,,,,,,,,,,
touchpoints.digital.gov,digital.gov,digitalgov-team@gsa.gov,,Production,,,,,,,,,FAS/TTS/18F,ryan.wold@gsa.gov,,,,,,,E3D80DF4,E254D798,Copy of GSA site inventory TTS 68,Y,N
us.gov,usa.gov,,,Redirect,,,,,,,,,,,,,,,,,,,,,
usa.gov,usa.gov,,"GSA IT is working on getting a full ATO for the full ECAS setup, as well as all of the applications that run on ECAS (which includes GSA.gov, Insite, USA.gov, and a few other things)",Production,CMP,,https://drive.google.com/file/d/139L_0sS3mo22p1pkv2jpgGJkZwWBSYfz/view,90-Day LATO Extension,Moderate,4/2019,,Liz Delnegro (GSA IT),OPP,,Russell O'Neill,,,TBD,N/A,Yes,A9C01A4C,008BF794,Copy of TTS ATOs New and Renewals DEPRECATED,Y,N
usagov.gov,usa.gov,,,Redirect,,,,,,,,,,,,,,,,,,,,,
usdigitalregistry.digitalgov.gov,digital.gov,digitalgov-team@gsa.gov,,Production,,,,,,,,,,,,,,,,,,,,,
v1.designsystem.digital.gov,digital.gov,digitalgov-team@gsa.gov,,Production,,,,,,,,,FAS/TTS/OPP,daniel.williams@gsa.gov,,,,,,,6059D7B2,09FBCAEA,Copy of GSA site inventory TTS 71,Y,N
v2.designsystem.digital.gov,digital.gov,digitalgov-team@gsa.gov,,Production,,,,,,,,,,,,,,,,,,,,,
v2.designsystem.digital.gov/,digital.gov,digitalgov-team@gsa.gov,,Production,,,,,,,,,,,,,,,,,54969964,94AB7A4B,Copy of ATO/System Tracking Index Federalist Sites,Y,N
v2alt.designsystem.digital.gov,digital.gov,digitalgov-team@gsa.gov,,,,,,,,,,,,,,,,,,,,,,,
vocab.data.gov,data.gov,datagovhelp@gsa.gov,,Redirect,,,,,,,,,,,,,,,,,,,,,
vote.gov,usa.gov,,,Production,federalist.18.gov,,,,,,,,,,,,,,,,98CC9513,3204529A,Copy of ATO/System Tracking Index Federalist Sites,N,N
vote.usa.gov,usa.gov,,,Redirect,,,,,,,,,,,,,,,,,,,,,
weather.data.gov,data.gov,datagovhelp@gsa.gov,,Redirect,,,,,,,,,,,,,,,,,,,,,
weekofmaking.pif.gov,pif.gov,pif-team@gsa.gov,,Deprecated,cloud.gov,https://drive.google.com/a/gsa.gov/folderview?id=0B2gHjLPT7cBtNE5WNlQwVnV0TDg&usp=sharing&tid=0BynIxtx-CfkdckljM3BPSkdQT1U,,TBD,Low,3/6/2017,,,PIF,,,,,TBD,PIF,Yes,69F7AF70,52E68CE7,Copy of TTS ATOs New and Renewals DEPRECATED,Y,N
workflow.digital.gov,digital.gov,digitalgov-team@gsa.gov,,Beta,,,,,,,,,FAS/TTS/OPP,jacob.parcell@gsa.gov,,,,,,,C607091E,AB5E7BFB,Copy of GSA site inventory TTS 72,Y,N
wp-bsp.data.gov,data.gov,datagovhelp@gsa.gov,,Production,,,,,,,,,,,,,,,,,,,,,
writing-lab-guide.18f.gov,18f.gov,,,Production,,,,,,,,,,,,,,,,,4A167887,F06408CC,Copy of ATO/System Tracking Index Federalist Sites,Y,N
